SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,338 Edinburgh St,San Francisco,CA,94112,528000,2,1.0,Excelsior,625,2500,1900,1,,,Sold,,,,,528000,2015-09-02,600000.0,http://www.redfin.com/CA/San-Francisco/338-Edinburgh-St-94112/home/775122,San Francisco Association of Realtors (SFARMLS),435364,,N,Y,37.723834,-122.430381,false
Past Sale,Single Family Residential,222 Edinburgh St,San Francisco,CA,94112,699000,3,1.0,Excelsior,1293,2500,1922,1,Garage,,Sold,,,,,699000,2015-09-01,870000.0,http://www.redfin.com/CA/San-Francisco/222-Edinburgh-St-94112/home/774547,San Francisco Association of Realtors (SFARMLS),436015,Paragon Real Estate Group,N,Y,37.725622,-122.429026,false
Past Sale,Single Family Residential,471 Munich St,San Francisco,CA,94112,779000,3,1.5,Excelsior,1360,2495,1928,1,Garage,,Sold,,,,,779000,2015-09-10,1005000.0,http://www.redfin.com/CA/San-Francisco/471-Munich-St-94112/home/781420,San Francisco Association of Realtors (SFARMLS),436176,Zephyr Real Estate,N,Y,37.718095,-122.428577,false
Past Sale,Single Family Residential,119 Madrid St,San Francisco,CA,94112,799000,3,2.5,Excelsior,1275,2500,1912,1,Garage,,Sold,,,,,799000,2015-09-14,1038000.0,http://www.redfin.com/CA/San-Francisco/119-Madrid-St-94112/home/1345357,San Francisco Association of Realtors (SFARMLS),435789,"Lee Realty, P.Y.",N,Y,37.727381,-122.428109,false
Past Sale,Single Family Residential,139 Edinburgh St,San Francisco,CA,94112,883000,3,2.0,Excelsior,1125,2500,1912,1,Garage,,Sold,,,,,883000,2015-09-16,975000.0,http://www.redfin.com/CA/San-Francisco/139-Edinburgh-St-94112/home/776580,San Francisco Association of Realtors (SFARMLS),435465,Remax Prestigious Properties,N,Y,37.726705,-122.427533,false
Past Sale,Single Family Residential,611 Cayuga Ave,San Francisco,CA,94112,989000,3,2.0,Mission Terrace,,,1937,1,Garage,,Sold,,,,,989000,2015-09-03,1300000.0,http://www.redfin.com/CA/San-Francisco/611-Cayuga-Ave-94112/home/2001651,San Francisco Association of Realtors (SFARMLS),436585,Hill & Co.,N,Y,37.728319,-122.435765,false
Past Sale,Single Family Residential,446 Paris St,San Francisco,CA,94112,844900,3,2.0,Excelsior,1875,2500,1948,2,,,Sold,,,,,844900,2015-09-02,980000.0,http://www.redfin.com/CA/San-Francisco/446-Paris-St-94112/home/778646,San Francisco Association of Realtors (SFARMLS),436050,Century 21 Baldini Realty,N,Y,37.721814,-122.43518,false
Past Sale,Single Family Residential,72 Harrington St,SAN FRANCISCO,CA,94112,785000,2,1.5,SAN FRANCISCO,1088,2500,1958,1,Garage,,Sold,,,,2015-09-09,850000,2015-09-18,785000.0,http://www.redfin.com/CA/San-Francisco/72-Harrington-St-94112/home/1965421,MLSListings Inc. (MLSLI),ML81499172,Meridian Capital Real Estate,N,Y,37.725958,-122.43556,false
Past Sale,Single Family Residential,470 Paris St,San Francisco,CA,94112,549000,2,1.0,Excelsior,900,1550,1915,2,Garage,,Sold,,,,,549000,2014-10-03,630000.0,http://www.redfin.com/CA/San-Francisco/470-Paris-St-94112/home/1176908,San Francisco Association of Realtors (SFARMLS),423335,Hastings Realty Group,N,Y,37.721391,-122.4355,false
Past Sale,Single Family Residential,563 Lisbon St,San Francisco,CA,94112,598000,4,2.25,Excelsior,1800,,1911,0,,,Sold,,,,2013-01-23,598000,2013-03-29,610000.0,http://www.redfin.com/CA/San-Francisco/563-Lisbon-St-94112/home/1310628,San Francisco Association of Realtors (SFARMLS),403880,,N,Y,37.719341,-122.435276,false

